freq	delay(2,1)
3.05230000000000024E10	2.19805050722182660E-12
3.05240000000000000E10	2.19872676694119518E-12
3.05249999999999977E10	2.19940334276120542E-12
3.05259999999999998E10	2.20008023506344097E-12
3.05269999999999975E10	2.20075744396029904E-12
3.05280000000000040E10	2.20143496962255769E-12
3.05290000000000017E10	2.20211281263129655E-12
3.05299999999999994E10	2.20279097220192011E-12
3.05309999999999970E10	2.20346944961476510E-12
3.05319999999999991E10	2.20414824474025384E-12
3.05330000000000057E10	2.20482735714991041E-12
3.05340000000000034E10	2.20550678790163657E-12
3.05350000000000055E10	2.20618653657674102E-12
3.05360000000000031E10	2.20686660395782619E-12
3.05370000000000008E10	2.20754698977442398E-12
3.05379999999999985E10	2.20822769475281389E-12
